Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Audi,Model D,2015,2.6,186455,Electric,Automatic,23615.83486
Ford,Model B,2019,2.2,129443,Electric,Manual,27034.69073
Toyota,Model E,2017,1.1,138492,Diesel,Manual,22632.09601
Audi,Model B,2014,1.6,42147,Diesel,Manual,25419.35501
Ford,Model D,2010,1.4,13806,Petrol,Automatic,25295.79667
Honda,Model E,2017,2.5,4257,Diesel,Manual,33666.50487
Ford,Model A,2005,1.7,18696,Diesel,Manual,23697.75949
BMW,Model A,2000,2,34763,Electric,Automatic,21745.91424
Ford,Model B,2006,2.7,112467,Petrol,Automatic,21056.31312
Ford,Model A,2011,1.8,70531,Petrol,Manual,22313.15015
BMW,Model A,2019,1.9,149198,Diesel,Automatic,28845.26661
Audi,Model A,2003,3.9,33923,Petrol,Automatic,28172.1635
Audi,Model D,2009,2.9,172425,Electric,Automatic,21233.35379
Ford,Model A,2020,4,88867,Diesel,Manual,32227.86566
BMW,Model C,2001,2.8,7202,Diesel,Automatic,27583.27711
BMW,Model E,2008,4.2,110138,Electric,Manual,24300.10828
Honda,Model A,2009,1.9,194240,Petrol,Automatic,18927.62267
Audi,Model A,2019,3.2,103121,Petrol,Manual,29819.54636
Toyota,Model A,2010,2.8,193907,Electric,Automatic,19379.62918
Audi,Model C,2013,4.2,104133,Electric,Automatic,28138.43787
Audi,Model A,2002,2.5,103519,Electric,Manual,22435.71633
Honda,Model A,2000,4,179881,Electric,Manual,14263.44972
Toyota,Model E,2006,3,13341,Petrol,Manual,30663.29594
Honda,Model C,2003,3.5,121625,Petrol,Manual,23466.37531
Toyota,Model C,2006,4.1,65410,Electric,Manual,27004.28766
Ford,Model A,2015,4.5,20640,Electric,Manual,33993.82848
Toyota,Model C,2009,3.6,156977,Diesel,Manual,22830.10467
Honda,Model B,2014,2.1,140910,Diesel,Manual,24123.73572
Audi,Model C,2015,2,24275,Petrol,Automatic,31755.07923
Toyota,Model C,2005,2.1,137411,Diesel,Manual,19797.24311
Toyota,Model C,2003,1.3,59999,Diesel,Manual,20655.9717
BMW,Model D,2003,1.2,100689,Diesel,Manual,17918.48625
Audi,Model D,2003,3,144521,Petrol,Automatic,15587.53069
Ford,Model D,2021,3.8,76565,Diesel,Manual,29951.72436
Honda,Model C,2021,1.1,178622,Electric,Automatic,24969.60224
Ford,Model B,2016,3,152885,Petrol,Automatic,26300.4511
Audi,Model C,2012,2.3,22659,Diesel,Automatic,30121.83737
Toyota,Model A,2001,4.1,143140,Petrol,Automatic,22161.03645
Toyota,Model B,2019,1.5,119602,Diesel,Automatic,26746.04632
Audi,Model D,2005,3,177543,Petrol,Automatic,20360.49328
Toyota,Model E,2021,4.4,157952,Electric,Automatic,28691.11383
Toyota,Model B,2000,2.2,25847,Diesel,Automatic,23240.29181
Toyota,Model D,2007,3.6,165127,Diesel,Manual,22349.4089
Honda,Model B,2017,4.1,14802,Petrol,Automatic,37605.90688
Honda,Model B,2020,1.7,4944,Electric,Automatic,24913.7158
BMW,Model C,2003,4.5,360,Diesel,Manual,34261.80515
Ford,Model A,2004,3.8,63475,Electric,Manual,27121.25173
Audi,Model E,2004,1.5,83894,Diesel,Manual,20317.78676
Audi,Model D,2014,2.1,125807,Electric,Manual,22004.30894
Audi,Model B,2009,3.2,134536,Diesel,Manual,22589.87298
BMW,Model E,2007,4.1,149682,Petrol,Manual,23909.63019
Honda,Model B,2006,1.7,30607,Petrol,Manual,27210.47904
BMW,Model A,2011,3.6,136116,Electric,Manual,27945.56001
Audi,Model E,2010,1.9,169772,Diesel,Manual,20548.80341
Ford,Model D,2012,3.8,190962,Diesel,Automatic,24513.31902
Toyota,Model B,2014,3.4,141988,Electric,Manual,26098.29467
Honda,Model A,2016,2.8,85825,Diesel,Automatic,26276.92507
Honda,Model E,2021,3.3,69311,Petrol,Manual,31069.06614
BMW,Model B,2021,4.1,45347,Diesel,Manual,37361.85392
Honda,Model B,2017,2.4,131889,Petrol,Automatic,27118.91964
Audi,Model D,2007,3.7,133218,Electric,Automatic,22006.39295
Audi,Model A,2005,1.6,90292,Diesel,Manual,18672.79148
BMW,Model C,2010,3.5,154552,Electric,Automatic,24566.30461
Audi,Model B,2008,3.6,32146,Petrol,Automatic,27990.57837
Ford,Model E,2004,2.6,119157,Electric,Automatic,18661.9177
BMW,Model D,2006,3.8,163683,Electric,Manual,22099.72013
Ford,Model D,2021,2.9,24234,Diesel,Automatic,35440.82694
Toyota,Model B,2014,4.3,136030,Electric,Automatic,25593.56502
Ford,Model B,2020,1.4,55417,Electric,Automatic,28351.86537
Toyota,Model B,2021,1.5,147897,Diesel,Manual,26567.64562
Toyota,Model C,2003,3.9,57036,Electric,Manual,28597.13818
Ford,Model B,2018,3.9,108788,Petrol,Automatic,30945.10275
BMW,Model A,2012,2.6,59006,Diesel,Automatic,26230.66277
Audi,Model E,2000,4.4,122346,Petrol,Automatic,20023.13888
Audi,Model B,2000,3.4,58214,Diesel,Manual,22885.35101
Toyota,Model C,2021,4.4,27450,Electric,Automatic,36850.95726
Toyota,Model E,2013,2.9,195629,Petrol,Automatic,17201.82606
BMW,Model D,2008,1.7,76227,Petrol,Automatic,19196.00631
Honda,Model B,2011,2.6,63211,Petrol,Automatic,21971.70693
Ford,Model E,2017,4.4,19596,Electric,Automatic,35349.57999
Toyota,Model D,2008,2.3,59000,Petrol,Automatic,26754.69837
Audi,Model C,2007,4.3,198504,Petrol,Manual,22997.57652
BMW,Model A,2013,3.8,130568,Electric,Manual,24012.4711
Ford,Model B,2008,2.5,33857,Electric,Manual,24473.49162
BMW,Model A,2019,2.9,131380,Electric,Automatic,25127.0918
Ford,Model C,2001,3.1,156240,Petrol,Manual,18065.91655
Ford,Model E,2000,3.3,159491,Petrol,Manual,19475.84114
Toyota,Model E,2012,1.3,70029,Petrol,Automatic,26373.60082
BMW,Model C,2009,4.3,12756,Diesel,Automatic,30102.8246
BMW,Model C,2007,3.1,160360,Petrol,Automatic,20902.69691
Audi,Model B,2006,4.3,129415,Petrol,Automatic,22640.88875
Audi,Model D,2011,3.2,143456,Diesel,Manual,23773.29626
Toyota,Model A,2016,2.5,170924,Diesel,Automatic,22185.18916
Toyota,Model A,2011,3,146267,Petrol,Manual,22067.33745
Honda,Model E,2015,3.9,86210,Diesel,Automatic,27345.11693
Audi,Model E,2009,2.1,121789,Petrol,Automatic,15598.12625
Ford,Model B,2011,4.3,34125,Electric,Manual,30629.99722
BMW,Model C,2010,2.6,82,Electric,Manual,29873.43238
Toyota,Model A,2013,4.3,73978,Electric,Manual,30809.19398
BMW,Model B,2021,4.1,103715,Electric,Manual,29520.77109
BMW,Model E,2019,3.7,51539,Diesel,Manual,28810.34274
Honda,Model E,2012,2.6,83328,Petrol,Automatic,25874.07558
Audi,Model A,2001,3.1,178875,Diesel,Automatic,14437.05911
Toyota,Model E,2019,3.9,58825,Electric,Manual,32458.01358
BMW,Model E,2006,2.9,81036,Electric,Automatic,21410.16132
Toyota,Model D,2000,3.6,60555,Petrol,Automatic,20060.26868
Ford,Model C,2002,3.8,127075,Diesel,Automatic,23587.16107
Honda,Model E,2019,2.8,167568,Electric,Automatic,26641.42282
Ford,Model D,2011,2.9,5294,Diesel,Manual,29985.61336
Toyota,Model B,2004,1.7,44852,Petrol,Automatic,23934.5882
Toyota,Model E,2011,1.9,65858,Petrol,Manual,25042.05891
Audi,Model B,2002,4.2,15836,Diesel,Manual,26851.27415
BMW,Model E,2019,3.9,166900,Petrol,Manual,31270.99384
BMW,Model A,2004,1,130093,Diesel,Manual,19941.51606
Ford,Model D,2000,4,180050,Diesel,Manual,15979.15928
Honda,Model D,2015,1.1,85620,Diesel,Manual,24964.44363
BMW,Model A,2008,2.6,169475,Electric,Automatic,20013.63947
Audi,Model C,2009,1.2,68920,Electric,Automatic,24179.70624
Ford,Model D,2009,4.4,140525,Diesel,Manual,23155.69957
Ford,Model B,2012,4.4,156453,Petrol,Manual,28529.27828
Audi,Model D,2015,3.1,195614,Petrol,Manual,21069.77216
Honda,Model C,2019,2.4,189949,Electric,Manual,23532.91028
Audi,Model B,2003,2.8,108537,Diesel,Manual,18400.29311
Honda,Model B,2013,3.7,184449,Electric,Manual,22607.60006
Audi,Model A,2016,1.8,3664,Diesel,Automatic,28347.1421
Audi,Model E,2004,2.5,166936,Petrol,Automatic,15743.23484
Toyota,Model A,2012,3.6,144943,Petrol,Automatic,26497.36312
Ford,Model E,2002,2.4,73101,Electric,Automatic,21057.37216
Audi,Model A,2004,1.1,70195,Petrol,Automatic,23678.55213
Audi,Model E,2015,2.8,157001,Diesel,Manual,23813.4637
BMW,Model D,2018,3.6,114836,Petrol,Automatic,27886.60159
Ford,Model B,2018,4.4,136802,Petrol,Manual,28911.36999
BMW,Model E,2016,1.1,89083,Electric,Automatic,24437.08262
Ford,Model D,2017,2.9,157431,Diesel,Automatic,26052.31479
BMW,Model C,2017,2.6,55414,Electric,Manual,29128.62641
Audi,Model A,2007,1.8,120241,Electric,Manual,17510.95471
Audi,Model C,2017,3.2,76003,Petrol,Automatic,31967.22191
Toyota,Model D,2008,1.6,91936,Diesel,Automatic,24040.9796
BMW,Model C,2018,2,95385,Diesel,Manual,26379.10305
Honda,Model C,2009,3.7,82078,Electric,Automatic,29767.97573
Toyota,Model D,2001,2.6,29234,Electric,Manual,22228.70858
BMW,Model B,2016,4.5,547,Petrol,Automatic,38057.76858
BMW,Model E,2012,2.4,185356,Diesel,Manual,18632.74276
Toyota,Model A,2010,2.6,199508,Diesel,Manual,23971.45382
Audi,Model E,2015,2.1,51417,Petrol,Manual,24612.25105
BMW,Model A,2019,1.8,140018,Electric,Automatic,22898.55163
Audi,Model E,2006,4.2,52943,Diesel,Manual,32148.71538
Toyota,Model C,2002,3.6,11020,Petrol,Automatic,23225.77771
Audi,Model B,2015,2.2,135389,Electric,Automatic,23635.75885
Ford,Model C,2018,3.5,131595,Petrol,Automatic,27363.43038
Honda,Model B,2019,4.4,91622,Diesel,Manual,32781.08423
BMW,Model D,2015,1.3,55076,Electric,Automatic,26855.92983
Honda,Model A,2001,1.9,80195,Petrol,Manual,18812.72714
Audi,Model A,2013,1.7,139881,Petrol,Manual,23387.27867
BMW,Model D,2019,4,146607,Petrol,Automatic,31993.49868
Audi,Model E,2009,1.6,81834,Diesel,Manual,21446.29432
Ford,Model D,2018,2.1,50012,Diesel,Manual,26124.48529
Toyota,Model D,2010,2.9,120872,Diesel,Manual,22407.53196
BMW,Model B,2017,3.2,48951,Petrol,Automatic,32052.17564
Ford,Model D,2010,3.8,89412,Diesel,Manual,27453.50532
Ford,Model A,2008,2.4,153336,Petrol,Manual,21897.23847
BMW,Model C,2018,2.9,79114,Petrol,Automatic,33570.86321
Audi,Model B,2019,4.4,89821,Petrol,Manual,33232.26046
Ford,Model B,2009,2,61832,Electric,Manual,23595.21757
Honda,Model E,2002,1.9,27476,Petrol,Manual,20972.30887
Ford,Model C,2002,3.5,51973,Diesel,Automatic,24028.17478
Audi,Model B,2007,3.7,53017,Petrol,Manual,28951.69113
Audi,Model D,2005,2.5,15503,Diesel,Manual,24517.34768
Honda,Model B,2019,1.7,142578,Electric,Automatic,25964.07075
Ford,Model B,2000,3.7,40994,Electric,Manual,22181.21529
Audi,Model B,2019,3.3,147241,Petrol,Manual,27700.71714
BMW,Model E,2005,4.1,149556,Diesel,Manual,19123.85287
Toyota,Model B,2001,4,58723,Electric,Manual,23428.59329
Toyota,Model B,2018,1.7,180660,Electric,Automatic,25322.93284
Toyota,Model E,2006,3.9,119050,Electric,Automatic,24368.58859
Ford,Model C,2010,1.6,77707,Diesel,Automatic,23047.98453
Honda,Model A,2010,4,13920,Petrol,Manual,31844.80193
Audi,Model E,2003,3.7,96341,Petrol,Manual,24111.76737
BMW,Model E,2019,3,114996,Electric,Manual,29398.91131
BMW,Model B,2015,3.2,110856,Petrol,Manual,27814.10397
Ford,Model B,2004,1.4,147947,Electric,Automatic,14407.97732
Toyota,Model A,2006,1.1,95814,Diesel,Automatic,16451.50592
Ford,Model B,2015,2.2,193552,Petrol,Manual,22675.81255
Honda,Model D,2014,3.9,103612,Diesel,Automatic,26002.04178
Honda,Model B,2004,2.6,193701,Petrol,Automatic,17245.55615
Audi,Model B,2000,1.8,67450,Diesel,Automatic,21243.04153
Audi,Model D,2019,3.9,2925,Diesel,Automatic,34092.33431
Honda,Model A,2021,1.8,124248,Petrol,Automatic,25574.93744
Honda,Model D,2021,3.9,68826,Electric,Manual,33551.55524
Honda,Model E,2008,2.6,43101,Electric,Manual,24270.74902
Ford,Model D,2020,2.6,150685,Diesel,Automatic,24859.76754
Honda,Model C,2004,2,61473,Diesel,Automatic,20859.84758
BMW,Model E,2021,4.2,63903,Electric,Automatic,33163.14872
Toyota,Model B,2005,1.3,151033,Petrol,Automatic,17520.90937
Honda,Model E,2002,1.5,103913,Petrol,Manual,17960.83233
Toyota,Model A,2005,3.2,68107,Diesel,Automatic,21601.41917
Ford,Model A,2007,4,147688,Petrol,Automatic,26571.82806
Toyota,Model D,2005,1.3,129017,Diesel,Automatic,17052.35271
Ford,Model E,2015,3.6,120938,Petrol,Manual,27514.65962
BMW,Model B,2015,3.6,33984,Diesel,Automatic,30954.09215
Ford,Model A,2020,3,3539,Petrol,Automatic,34800.98676
Ford,Model B,2002,2.7,164361,Diesel,Automatic,15368.82228
Audi,Model C,2016,2.1,193148,Electric,Automatic,18835.61286
Honda,Model A,2020,2.2,84986,Electric,Automatic,28486.2225
Honda,Model D,2005,3.4,97558,Electric,Automatic,26291.01685
BMW,Model C,2005,1.2,11391,Electric,Manual,24456.75253
BMW,Model E,2021,3,82260,Diesel,Manual,33823.47386
Honda,Model B,2018,2,109240,Petrol,Automatic,25387.82421
Audi,Model A,2019,2.6,44906,Diesel,Manual,29821.72338
Honda,Model C,2014,3,77666,Diesel,Automatic,27086.31337
Audi,Model C,2018,4.1,139322,Diesel,Manual,30261.40932
BMW,Model A,2001,3,180207,Petrol,Automatic,18530.00999
Toyota,Model E,2007,1.8,128991,Diesel,Automatic,19097.5147
BMW,Model E,2006,1.3,152137,Electric,Manual,14184.17606
BMW,Model D,2007,3.2,54785,Electric,Manual,28108.98875
Ford,Model E,2012,2.9,137775,Diesel,Automatic,26131.0027
Ford,Model D,2021,3.4,111109,Electric,Automatic,31767.35782
Ford,Model C,2014,2.6,51754,Electric,Automatic,31469.84633
Ford,Model A,2011,3.9,95376,Petrol,Manual,23699.43109
Audi,Model E,2014,4.2,69966,Diesel,Manual,29054.81782
Honda,Model D,2013,1.1,37621,Diesel,Manual,25860.27844
Toyota,Model C,2006,3.6,114595,Electric,Automatic,21354.80637
BMW,Model E,2016,1.1,34936,Diesel,Manual,29287.98732
Audi,Model B,2004,2.6,161511,Diesel,Manual,15772.18987
Toyota,Model C,2019,2.6,94071,Electric,Automatic,31685.58437
Audi,Model E,2009,3.4,101052,Electric,Manual,23549.47563
Audi,Model C,2018,2.2,50460,Diesel,Manual,32676.53608
BMW,Model A,2017,3.9,190541,Petrol,Automatic,24124.44522
Honda,Model A,2009,2.2,198201,Electric,Manual,13264.68017
Ford,Model A,2001,2.2,113089,Diesel,Automatic,18527.89725
Honda,Model B,2005,1.8,94191,Electric,Manual,21752.61785
BMW,Model A,2002,3.4,92142,Diesel,Automatic,20117.19463
BMW,Model B,2018,1.3,109748,Diesel,Automatic,28282.74759
BMW,Model A,2004,2.3,15941,Petrol,Automatic,27540.14078
Toyota,Model C,2006,1.9,155339,Electric,Automatic,17679.53413
Honda,Model E,2006,1.8,55590,Petrol,Manual,23457.44262
Honda,Model E,2009,1.2,39876,Electric,Automatic,23937.32767
Audi,Model A,2000,1.7,129913,Petrol,Automatic,17215.65549
Audi,Model E,2010,2.6,94631,Electric,Automatic,26171.09416
Audi,Model A,2006,2.8,115770,Petrol,Manual,18498.54239
BMW,Model A,2005,1.9,161579,Petrol,Automatic,20574.97856
Honda,Model D,2005,3.3,157129,Electric,Automatic,22617.73651
BMW,Model D,2012,2.2,98314,Petrol,Manual,22392.03892
Toyota,Model D,2015,2.3,96602,Petrol,Manual,29174.08564
Audi,Model B,2012,3.7,83926,Electric,Automatic,32025.6042
BMW,Model D,2001,2.9,129875,Electric,Manual,15376.41944
BMW,Model A,2018,4.3,62468,Diesel,Automatic,34851.3061
Toyota,Model C,2018,2.3,63180,Electric,Automatic,31278.79063
Ford,Model D,2018,3.9,145656,Diesel,Manual,29246.99448
Honda,Model D,2017,3.6,188850,Petrol,Automatic,27598.21188
Ford,Model C,2005,4.1,126371,Electric,Manual,23780.45203
Audi,Model A,2001,4.3,153704,Diesel,Automatic,21404.24197
BMW,Model B,2018,1,18673,Electric,Automatic,25266.15406
Toyota,Model D,2005,1.3,134415,Diesel,Manual,16065.61902
Toyota,Model C,2019,3.4,18950,Diesel,Automatic,36883.2561
Honda,Model A,2021,2.4,80600,Electric,Manual,28877.7888
Ford,Model E,2014,3.9,21547,Petrol,Automatic,32609.59311
Honda,Model B,2005,1,97305,Petrol,Automatic,16376.27467
BMW,Model C,2002,3.8,53027,Diesel,Manual,23620.49657
Honda,Model C,2010,1.5,100532,Diesel,Automatic,22650.14316
Toyota,Model C,2007,2,195163,Petrol,Manual,16464.36817
Toyota,Model D,2021,4.4,178603,Electric,Manual,25733.44834
Audi,Model E,2017,1.2,172299,Electric,Manual,19773.23915
Audi,Model B,2016,2.2,178755,Petrol,Manual,25249.01085
BMW,Model A,2018,1.3,187243,Petrol,Manual,23377.24406
Ford,Model A,2018,4,141462,Petrol,Manual,28990.88902
Honda,Model E,2020,3.5,142951,Diesel,Manual,29524.56015
BMW,Model C,2016,3.8,146007,Petrol,Manual,26006.70432
Audi,Model C,2003,2.8,184701,Petrol,Manual,19636.20748
Honda,Model C,2006,2.3,120605,Petrol,Manual,20044.41669
Audi,Model C,2004,1,32574,Petrol,Automatic,18908.26906
Honda,Model C,2015,2,180738,Electric,Manual,18059.31233
Ford,Model E,2005,2.8,83663,Electric,Manual,19434.27085
BMW,Model D,2013,3.3,74657,Petrol,Automatic,26781.69968
Honda,Model B,2019,1.8,159579,Diesel,Manual,27415.09124
Toyota,Model C,2001,1.5,122544,Diesel,Manual,21719.81953
Toyota,Model D,2017,1.7,179627,Electric,Manual,24055.97804
Honda,Model A,2017,2.2,99752,Diesel,Manual,23426.11678
Honda,Model E,2012,1.5,147654,Diesel,Automatic,18387.20085
Honda,Model D,2017,1.5,26631,Electric,Automatic,26949.09575
Toyota,Model C,2016,1.2,128902,Petrol,Manual,22382.56385
Toyota,Model C,2012,4,149236,Petrol,Manual,23855.98823
Honda,Model C,2011,1.8,86820,Electric,Manual,25004.77301
Audi,Model D,2002,3.9,30646,Petrol,Manual,25696.75685
Audi,Model C,2021,2.5,151878,Petrol,Automatic,28655.68018
Ford,Model D,2006,3.2,190129,Electric,Manual,20084.13152
BMW,Model C,2000,1.3,87633,Electric,Manual,19839.79194
Audi,Model A,2004,3,185967,Electric,Automatic,16241.85745
Toyota,Model A,2020,2,179046,Diesel,Automatic,25954.56404
Audi,Model B,2000,1.3,142356,Electric,Automatic,12974.84927
Ford,Model C,2003,4.2,144929,Electric,Manual,21543.73092
Ford,Model C,2000,3.1,129278,Electric,Manual,17066.37968
BMW,Model D,2012,1.8,85424,Electric,Automatic,25037.26287
Audi,Model D,2013,2.5,171512,Petrol,Manual,24574.41683
Toyota,Model C,2014,2.2,177178,Electric,Manual,23881.82798
Toyota,Model B,2016,3.5,18951,Electric,Automatic,33771.45678
Honda,Model C,2011,3.1,21009,Diesel,Automatic,29368.50835
Toyota,Model D,2006,1.1,14835,Diesel,Manual,23422.47721
BMW,Model C,2018,1.7,42290,Petrol,Manual,32340.67839
BMW,Model D,2002,2.7,150013,Electric,Automatic,16216.15407
Toyota,Model C,2017,2.6,106174,Electric,Manual,28323.60143
Toyota,Model E,2003,2.8,98727,Electric,Manual,23413.06075
Honda,Model D,2002,3.5,163989,Diesel,Manual,18782.48872
Toyota,Model B,2011,3.4,28039,Petrol,Manual,31751.46579
Honda,Model E,2011,2.3,157161,Diesel,Manual,25676.46781
Honda,Model C,2016,4.1,60059,Electric,Automatic,32012.1977
Toyota,Model D,2005,1.2,125873,Diesel,Manual,17096.94865
Ford,Model E,2014,3,95278,Electric,Manual,27678.15865
Ford,Model B,2001,4.3,112951,Electric,Manual,23433.04947
Honda,Model D,2007,2.9,57247,Electric,Automatic,28103.81545
Toyota,Model E,2013,2.6,114826,Petrol,Manual,27474.75347
Ford,Model E,2004,1.5,39833,Diesel,Manual,22667.19437
Toyota,Model E,2002,3.8,77453,Electric,Automatic,19792.50666
Toyota,Model A,2009,2.3,18254,Electric,Manual,24288.27279
Toyota,Model C,2006,3.5,83981,Petrol,Manual,26740.34872
Audi,Model D,2010,1.7,32611,Petrol,Manual,24510.38558
Toyota,Model D,2014,1.1,109314,Electric,Automatic,24820.57643
Audi,Model D,2001,2.1,46827,Electric,Automatic,23008.18662
Honda,Model E,2004,2,188344,Electric,Automatic,15212.55569
Ford,Model C,2010,4.1,190329,Electric,Manual,21033.61422
Ford,Model B,2007,4,13830,Petrol,Manual,29469.66751
Ford,Model D,2012,2.9,106485,Diesel,Automatic,25880.96815
Ford,Model C,2010,1.1,112749,Petrol,Automatic,17796.45642
Ford,Model C,2016,1.8,5696,Petrol,Manual,32172.38252
Ford,Model A,2014,3.2,66278,Diesel,Automatic,30489.22758
Ford,Model D,2000,1.4,162334,Electric,Automatic,14057.48458
Honda,Model E,2018,3.5,168021,Electric,Manual,26980.42286
Toyota,Model C,2015,1,143497,Diesel,Automatic,24169.38058
BMW,Model C,2018,3.4,175569,Petrol,Manual,24556.91222
Audi,Model B,2012,4,57420,Electric,Manual,29416.23581
BMW,Model A,2021,2.6,152712,Diesel,Automatic,27189.32457
BMW,Model C,2003,3.9,99320,Diesel,Automatic,22174.28783
Toyota,Model C,2010,3.7,124434,Diesel,Manual,24923.07186
Toyota,Model E,2017,3.3,187165,Electric,Automatic,21590.73263
Toyota,Model E,2017,2.6,123912,Diesel,Automatic,25742.96777
Ford,Model B,2009,2,106578,Petrol,Automatic,21930.13961
Honda,Model B,2016,4,47150,Petrol,Automatic,31145.16275
Ford,Model B,2012,3.3,157183,Diesel,Automatic,26329.24322
Honda,Model E,2013,3.8,168365,Diesel,Automatic,25556.03412
Honda,Model E,2006,2.9,103513,Diesel,Manual,22405.37865
BMW,Model A,2009,1.6,180736,Petrol,Manual,16467.59158
BMW,Model D,2002,4.4,18306,Electric,Manual,24805.34573
Honda,Model D,2001,1.6,95896,Petrol,Automatic,16540.36003
Honda,Model A,2018,4.2,92672,Diesel,Automatic,31899.0814
Ford,Model D,2006,1.7,149370,Electric,Manual,17788.24351
Ford,Model E,2004,2.3,4753,Electric,Automatic,23862.37124
BMW,Model D,2002,2.5,77704,Diesel,Manual,24457.8221
Toyota,Model E,2001,4.2,74374,Diesel,Manual,26373.60116
Honda,Model A,2021,4.1,164637,Petrol,Automatic,28592.34517
Ford,Model B,2005,3.9,155724,Petrol,Automatic,22683.28423
BMW,Model A,2013,2.3,88144,Petrol,Automatic,28285.7648
Ford,Model D,2006,1,88617,Diesel,Automatic,20264.55014
Honda,Model E,2021,3.4,10875,Electric,Automatic,35424.29345
Honda,Model D,2001,2.4,90853,Petrol,Automatic,16130.81456
Audi,Model D,2010,3.6,48996,Diesel,Automatic,28615.78509
Toyota,Model B,2020,3.8,165065,Electric,Automatic,26832.31801
Audi,Model D,2002,2.5,97101,Diesel,Automatic,18956.67181
BMW,Model B,2008,3.6,136638,Diesel,Automatic,22727.6196
Ford,Model E,2007,3.9,110698,Diesel,Manual,24323.89146
BMW,Model E,2010,4.2,79139,Petrol,Automatic,27689.52796
Honda,Model B,2017,3,38690,Diesel,Manual,28897.10602
Audi,Model A,2000,3.7,176813,Diesel,Manual,14061.64384
Audi,Model E,2014,2.7,103340,Diesel,Manual,27880.08323
Audi,Model A,2003,1.1,188727,Petrol,Automatic,16661.44197
BMW,Model E,2003,1.5,2646,Diesel,Manual,23576.35617
Honda,Model E,2009,1.4,122372,Diesel,Manual,17990.99153
Ford,Model C,2010,1.6,41592,Petrol,Automatic,27100.34402
Ford,Model D,2017,1,29339,Diesel,Automatic,32175.13713
BMW,Model D,2014,4,103849,Electric,Automatic,31234.55981
Audi,Model A,2002,3,167521,Diesel,Automatic,20315.05465
Toyota,Model D,2006,2.3,98718,Diesel,Automatic,19328.47966
BMW,Model A,2006,2.4,109702,Petrol,Automatic,20187.19553
BMW,Model E,2016,2.6,90883,Petrol,Manual,30069.86117
Honda,Model C,2021,1.3,184703,Petrol,Manual,20449.78108
Ford,Model C,2019,2,39967,Petrol,Manual,29394.38388
BMW,Model E,2015,4,174619,Electric,Automatic,26147.15834
BMW,Model B,2015,3.6,65463,Diesel,Manual,31502.97563
Audi,Model B,2007,3,46851,Diesel,Automatic,25607.35546
Audi,Model D,2002,2.7,25062,Electric,Automatic,24167.50478
Toyota,Model A,2019,1.9,59123,Petrol,Automatic,29674.27011
Honda,Model C,2014,2.6,89229,Diesel,Manual,26284.53708
Toyota,Model D,2000,3.1,139293,Electric,Manual,17230.6247
Audi,Model E,2009,3.5,15234,Diesel,Automatic,29494.56937
Ford,Model C,2001,1.6,139393,Electric,Manual,14647.76353
Audi,Model A,2006,3.8,7945,Electric,Manual,30988.60635
Honda,Model A,2013,2.2,5189,Diesel,Manual,30251.76271
Audi,Model B,2015,2.8,102518,Petrol,Manual,26827.59475
Honda,Model D,2014,3.1,133446,Petrol,Automatic,25050.38008
Honda,Model E,2006,2.7,142405,Electric,Automatic,22365.94136
Honda,Model C,2012,3,196815,Petrol,Manual,20423.69887
Honda,Model A,2009,1.4,127066,Diesel,Manual,21396.87695
Honda,Model C,2008,2.5,110711,Electric,Automatic,24834.66178
Ford,Model E,2008,2,171979,Diesel,Automatic,19385.77618
Toyota,Model C,2005,1.3,9173,Diesel,Manual,20416.0366
BMW,Model D,2011,1.7,135374,Petrol,Automatic,20283.79042
Toyota,Model B,2019,3.1,110997,Diesel,Manual,27441.24451
Honda,Model C,2019,1.7,170751,Electric,Manual,20970.83923
Ford,Model B,2021,1.6,55842,Electric,Automatic,32090.77418
Audi,Model E,2013,2.9,157819,Diesel,Automatic,24166.0648
Ford,Model B,2019,4.2,131183,Diesel,Manual,25211.34668
Honda,Model C,2006,3.8,121841,Electric,Manual,23485.52396
Ford,Model C,2007,4.2,81102,Petrol,Automatic,25518.21541
Ford,Model A,2007,3,103013,Petrol,Manual,25202.81544
Honda,Model C,2007,2.4,152496,Petrol,Manual,18353.59314
Ford,Model B,2001,3.6,139969,Diesel,Manual,20335.32376
BMW,Model A,2013,1.9,38640,Diesel,Manual,27979.51594
BMW,Model C,2009,1.3,14482,Electric,Manual,23734.09524
Ford,Model C,2017,2.2,90052,Electric,Automatic,25382.85997
Audi,Model E,2017,2,120963,Electric,Manual,29506.24212
Honda,Model A,2017,3.4,158427,Electric,Manual,27162.34481
BMW,Model E,2015,2.9,56145,Petrol,Manual,29593.47005
Audi,Model E,2019,1.5,151655,Diesel,Automatic,26337.10609
Ford,Model E,2004,4.2,117288,Diesel,Automatic,27050.44748
Audi,Model D,2019,3.1,81718,Petrol,Automatic,33616.28453
Toyota,Model E,2004,2.6,4857,Electric,Automatic,23207.65267
BMW,Model B,2019,4.3,11166,Electric,Automatic,36606.93268
Ford,Model C,2009,1.3,122494,Diesel,Automatic,19421.07449
Honda,Model D,2016,3.8,7498,Electric,Manual,38015.68009
Ford,Model E,2012,2.3,168879,Diesel,Manual,22580.66704
Honda,Model C,2016,3.4,156495,Petrol,Manual,23385.19296
Ford,Model A,2017,4.3,183167,Diesel,Automatic,23258.81585
